"pandora_topic_id","topic_term","cnt"
"TP:28309","political satire","3156"
"TP:28517","NASCAR","1439"
"TP:135621","football","1250"
"TP:28231","Women's History","741"
"TP:28141","cults","683"
"TP:28072","Weekly Services & Sermons","621"
"TP:28279","MLB","614"
"TP:29304","K-Pop Commentary","602"
"TP:28071","Christian culture","583"
"TP:38914","January 6th Committee","569"
"TP:28316","Religión y Espiritualidad","556"
"TP:28078","NBA","543"
"TP:29039","Women in Comedy","522"
"TP:28287","elections","472"
"TP:28138","Political Commentary","451"
"TP:28145","MLB Spring Training","442"
"TP:28317","Sports Talk","424"
"TP:28307","personal finance","424"
"TP:28330","Ficción y Dramaticos","423"
"TP:29003","horror movies","398"
"TP:28091","Bible Study","394"
"TP:28059","Comedia","390"
"TP:39061","Russia-Ukraine War","388"
"TP:28269","American history","375"
"TP:28061","Horror & Suspenseful Tales","347"
"TP:28135","beauty","337"
"TP:28074","pop culture","336"
"TP:28306","parenting","331"
"TP:28302","Negocios y Finanzas","326"
"TP:28292","NFL","324"
"TP:83298","New York Knicks","310"
"TP:29010","World News","296"
"TP:97359","ESPN","295"
"TP:39047","Philadelphia 76ers","291"
"TP:28510","supernatural","280"
"TP:28994","meditation","263"
"TP:28090","black history","262"
"TP:138870","NBA Playoffs","254"
"TP:28285","Cultura y Sociedad","249"
"TP:28331","soccer","244"
"TP:72156","Victoria Osteen","241"
"TP:28097","reality television","241"
"TP:28293","ghosts","226"
"TP:28482","Painting","222"
"TP:28315","Relaciones y Autoayuda","218"
"TP:82462","Jeff Lewis (SiriusXM Host)","218"
"TP:28311","productivity","215"
"TP:28137","News Brief","213"
"TP:2023026","2026 Iran War","212"
"TP:97406","FOX News","211"
"TP:39050","Los Angeles Lakers","204"
"TP:28284","college sports","199"
"TP:28320","Tabletop Gaming","196"
"TP:105961","Tom Petty","196"
"TP:28098","Reality TV Stars","193"
"TP:29283","The Bachelor (franchise)","191"
"TP:29322","Met Gala","189"
"TP:28134","relationships","188"
"TP:29123","Dungeons & Dragons","187"
"TP:107516","Metallica","187"
"TP:28283","business news","185"
"TP:28299","NHL","183"
"TP:29133","Los Angeles Sports","179"
"TP:28771","Donald Trump","178"
"TP:97355","British Broadcasting Corporation","177"
"TP:29131","New York Sports","176"
"TP:32024","Joel Osteen","175"
"TP:108554","Tom Petty & The Heartbreakers","171"
"TP:28297","health","171"
"TP:38987","Boston Celtics","167"
"TP:29009","Supreme Court","166"
"TP:83405","Detroit Pistons","164"
"TP:83403","Minnesota Timberwolves","163"
"TP:83599","Oklahoma City Thunder","160"
"TP:28095","cold cases","158"
"TP:40484","Mark Goodman (SiriusXM Host)","157"
"TP:63075","Alan Hunter (VJ)","157"
"TP:175829","iHeartPodcasts","154"
"TP:83662","San Antonio Spurs","153"
"TP:29132","Chicago Sports","147"
"TP:29350","Holiday::Halloween","146"
"TP:142368","redistricting","145"
"TP:39049","Cleveland Cavaliers","141"
"TP:28967","Joel Embiid","134"
"TP:116248","Sona Movsesian","130"
"TP:28312","trivia","129"
"TP:109939","Conan O'Brien","128"
"TP:83287","New York Yankees","128"
"TP:106089","Grateful Dead","128"
"TP:139042","Stanley Cup Playoffs","127"
"TP:28291","nutrition","127"
"TP:28089","fashion","127"
"TP:29189","Pop Culture Comedy","126"
"TP:29020","cryptozoology","126"
"TP:38854","Yellowstone (TV)","126"
"TP:28288","entrepreneurship","123"
"TP:38432","Matt Gourley","120"
"TP:29169","Philadelphia Sports","120"
"TP:147414","Texas Motor Speedway","120"
"TP:122386","Artificial Intelligence","119"
"TP:97349","CNN","117"
"TP:137655","FYIona (AI)","116"
"TP:107170","will.i.am","115"
"TP:28056","management","115"
"TP:28294","golf","114"
"TP:28295","LGBTQIA+","114"
"TP:97407","FOX Sports","112"
"TP:178109","Watkins Glen International","112"
"TP:28304","Noticias y Politicos","111"
"TP:31062","Dave Ramsey","110"
"TP:103523","Eric Wynalda","109"
"TP:28142","Tech News","109"
"TP:83285","Atlanta Braves","108"
"TP:28133","advice","106"
"TP:97365","National Public Radio","105"
"TP:2011917","Voting Rights Act of 1965","105"
"TP:97370","TODAY Show","105"
"TP:28067","sleep","104"
"TP:28079","forensic science","103"
"TP:103377","Chris Medland (SiriusXM Host)","103"
"TP:69119","Downtown Julie Brown","102"
"TP:136186","Roman Reigns","100"
"TP:28296","mental health","100"
"TP:106653","Phish","99"
"TP:28515","fantasy football","99"
"TP:135611","basketball","98"
"TP:63144","Nina Blackwood","98"
"TP:143742","gerrymandering","98"
"TP:97363","NBC News","97"
"TP:83411","Orlando Magic","97"
"TP:111518","Alan Walker","97"
"TP:28139","Science Discoveries","96"
"TP:83410","Ottawa Senators","96"
"TP:28057","Comedian Interviews","95"
"TP:39057","Pittsburgh Steelers","95"
"TP:28143","Sci-Fi & Fantasy Film","94"
"TP:28888","LeBron James","94"
"TP:53992","Jacob Fatu","93"
"TP:28975","NFL draft","93"
"TP:39063","trucking industry","93"
"TP:83283","Montreal Canadiens","91"
"TP:103378","Jon Massengale (SiriusXM Host)","90"
"TP:87787","Big Ten","89"
"TP:32838","Megyn Kelly","88"
"TP:140207","stand-up comedy","88"
"TP:115261","J.C. Jackson","88"
"TP:141787","WWE Backlash","88"
"TP:112973","The Beatles","87"
"TP:116054","Tommy Smyth","87"
"TP:103188","Jason Davis (SiriusXM Host)","86"
"TP:86622","Arsenal F.C.","86"
"TP:28411","paranormal sciences","85"
"TP:123118","Victor Wembanyama","85"
"TP:33005","Al Roker","85"
"TP:69038","Keith Costigan","84"
"TP:106511","Bruce Springsteen","83"
"TP:137665","concerts","82"
"TP:28258","Boston Sports","82"
"TP:28268","alternative health","82"
"TP:108438","Seth Rudetsky","82"
"TP:28081","true crime","81"
"TP:83402","Chicago Cubs","81"
"TP:28290","fantasy sports","80"
"TP:28077","college basketball","80"
"TP:28201","Sci-Fi Books","79"
"TP:118324","Matt Schick","79"
"TP:83314","Philadelphia Flyers","79"
"TP:109291","Elvis Presley","78"
"TP:111801","Dwight Yoakam","78"
"TP:28318","Stock Markets","77"
