"topic_term","pandora_topic_id","_col2"
"political satire","TP:28309","13688"
"football","TP:135621","10109"
"NASCAR","TP:28517","5120"
"Weekly Services & Sermons","TP:28072","3595"
"January 6th Committee","TP:38914","3387"
"Christian culture","TP:28071","3355"
"Women's History","TP:28231","3224"
"Political Commentary","TP:28138","2892"
"MLB","TP:28279","2826"
"cults","TP:28141","2652"
"NBA","TP:28078","2468"
"Bible Study","TP:28091","2363"
"Religión y Espiritualidad","TP:28316","2359"
"NFL","TP:28292","2244"
"elections","TP:28287","2101"
"ESPN","TP:97359","2025"
"K-Pop Commentary","TP:29304","1920"
"Sports Talk","TP:28317","1913"
"Ficción y Dramaticos","TP:28330","1856"
"personal finance","TP:28307","1797"
"American history","TP:28269","1737"
"Women in Comedy","TP:29039","1698"
"Comedia","TP:28059","1658"
"MLB Spring Training","TP:28145","1648"
"NFL draft","TP:28975","1641"
"Russia-Ukraine War","TP:39061","1625"
"Horror & Suspenseful Tales","TP:28061","1612"
"World News","TP:29010","1591"
"pop culture","TP:28074","1585"
"British Broadcasting Corporation","TP:97355","1571"
"FOX News","TP:97406","1540"
"horror movies","TP:29003","1479"
"iHeartPodcasts","TP:175829","1478"
"Negocios y Finanzas","TP:28302","1475"
"News Brief","TP:28137","1419"
"Donald Trump","TP:28771","1333"
"soccer","TP:28331","1248"
"meditation","TP:28994","1122"
"supernatural","TP:28510","1113"
"Reality TV Stars","TP:28098","1093"
"Jeff Lewis (SiriusXM Host)","TP:82462","1073"
"Relaciones y Autoayuda","TP:28315","1049"
"ghosts","TP:28293","1032"
"Cultura y Sociedad","TP:28285","992"
"TODAY Show","TP:97370","943"
"New York Sports","TP:29131","930"
"business news","TP:28283","915"
"Los Angeles Sports","TP:29133","909"
"parenting","TP:28306","908"
"Tabletop Gaming","TP:28320","902"
"NBC News","TP:97363","898"
"National Public Radio","TP:97365","895"
"college sports","TP:28284","881"
"reality television","TP:28097","866"
"NHL","TP:28299","864"
"beauty","TP:28135","859"
"Tom Petty","TP:105961","857"
"productivity","TP:28311","851"
"CNN","TP:97349","849"
"Painting","TP:28482","845"
"Grateful Dead","TP:106089","839"
"2026 Iran War","TP:2023026","835"
"health","TP:28297","835"
"Tom Petty & The Heartbreakers","TP:108554","823"
"fantasy football","TP:28515","820"
"Joel Osteen","TP:32024","811"
"FOX Sports","TP:97407","807"
"relationships","TP:28134","795"
"golf","TP:28294","794"
"Chicago Sports","TP:29132","773"
"basketball","TP:135611","771"
"Holiday::Halloween","TP:29350","760"
"cold cases","TP:28095","759"
"Victoria Osteen","TP:72156","753"
"Metallica","TP:107516","752"
"black history","TP:28090","752"
"Dungeons & Dragons","TP:29123","750"
"cryptozoology","TP:29020","718"
"The Bachelor (franchise)","TP:29283","712"
"Bloomberg Radio","TP:97357","695"
"Mark Goodman (SiriusXM Host)","TP:40484","684"
"Los Angeles Lakers","TP:39050","682"
"Ottawa Senators","TP:83410","677"
"Alan Hunter (VJ)","TP:63075","676"
"New York Knicks","TP:83298","672"
"trivia","TP:28312","653"
"true crime","TP:28081","621"
"Stock Markets","TP:28318","601"
"New York Mets","TP:83301","598"
"Tech News","TP:28142","591"
"fantasy sports","TP:28290","589"
"Comedy Talk & Opinion","TP:29188","585"
"Comedian Interviews","TP:28057","584"
"NBA Playoffs","TP:138870","580"
"advice","TP:28133","578"
"entrepreneurship","TP:28288","571"
"Boston Celtics","TP:38987","559"
"Catholic culture","TP:28092","552"
"college basketball","TP:28077","550"
"sleep","TP:28067","550"
"Dave Ramsey","TP:31062","547"
"New York Giants (football)","TP:38973","532"
"management","TP:28056","530"
"Supreme Court","TP:29009","524"
"trucking industry","TP:39063","523"
"Noticias y Politicos","TP:28304","514"
"Orlando Magic","TP:83411","512"
"artificial intelligence","TP:122386","500"
"Philadelphia 76ers","TP:39047","496"
"fashion","TP:28089","494"
"Phish","TP:106653","487"
"Conan O'Brien","TP:109939","486"
"Boston Sports","TP:28258","484"
"Science Discoveries","TP:28139","476"
"Sona Movsesian","TP:116248","475"
"Minnesota Timberwolves","TP:83403","474"
"Denver Sports","TP:29196","470"
"Downtown Julie Brown","TP:69119","465"
"New York Yankees","TP:83287","455"
"Hip-Hop Culture","TP:29115","455"
"Eric Wynalda","TP:103523","449"
"Los Angeles Dodgers","TP:83396","446"
"The Beatles","TP:112973","440"
"college football","TP:82035","437"
"Joe Biden","TP:28785","436"
"stand-up comedy","TP:140207","434"
"Nina Blackwood","TP:63144","432"
"storytelling","TP:28363","429"
"classic radio","TP:91312","429"
"Matt Turner (soccer)","TP:50992","426"
"ABC News","TP:144741","426"
"nutrition","TP:28291","425"
"Matt Gourley","TP:38432","424"
"concerts","TP:137665","419"
"Detroit Pistons","TP:83405","419"
"Daniel Suárez (racing driver)","TP:196221","416"
"Al Roker","TP:33005","414"
"Pittsburgh Steelers","TP:39057","411"
"celebrity interviews","TP:28075","407"
"Carrie Underwood","TP:106710","406"
"New York News & Politics","TP:29272","399"
"mental health","TP:28296","398"
"Sci-Fi Books","TP:28201","395"
"Andy Cohen","TP:85768","394"
"Denver Nuggets","TP:84870","392"
"LGBTQIA+","TP:28295","389"
"San Antonio Spurs","TP:83662","389"
"Megyn Kelly","TP:32838","385"
"Tommy Smyth","TP:116054","384"
"Philadelphia Phillies","TP:83382","380"
"Bully Ray","TP:116021","379"
"U2","TP:112922","378"
"paranormal sciences","TP:28411","373"
"C-SPAN","TP:97354","373"
"Hip Hop History","TP:30996","372"
"Philadelphia Sports","TP:29169","361"
"Chris Medland (SiriusXM Host)","TP:103377","358"
"forensic science","TP:28079","356"
"Kenny Chesney","TP:110744","355"
"Jon Massengale (SiriusXM Host)","TP:103378","353"
"Jim Bowden","TP:43078","349"
"Summer House (series)","TP:39037","348"
"Steven Van Zandt","TP:107962","347"
"Pop Culture Comedy","TP:29189","343"
"New York Jets","TP:83295","343"
"Pro Wrestling","TP:28310","343"
"Hoda Kotb","TP:33038","341"
"Jason Davis (SiriusXM Host)","TP:103188","339"
"Formula 1","TP:28472","339"
"Seth Rudetsky","TP:108438","337"
"Southeastern Conference","TP:85369","336"
"John Mayer","TP:108892","333"
"Boston Red Sox","TP:83409","332"
"Arsenal F.C.","TP:86622","329"
"The Masters","TP:39542","326"
"Houston Rockets","TP:84620","326"
"PGA Tour","TP:118553","324"
"Atlanta Braves","TP:83285","321"
"occupational therapy","TP:170063","320"
"LeBron James","TP:28888","320"
"Caity Babs (SiriusXM Host)","TP:103152","320"
"Chicago Cubs","TP:83402","319"
"Ranger Doug","TP:106560","319"
"Anthony Herron","TP:58302","318"
"conspiracy theories","TP:28140","318"
"auto racing","TP:28278","317"
"Minnesota Twins","TP:83391","316"
"Julie James (SiriusXM Host)","TP:103161","314"
"alternative health","TP:28268","311"
"Robert Aubry Davis","TP:103131","311"
"Atlanta Hawks","TP:80370","309"
"will.i.am","TP:107170","309"
"Elvis Presley","TP:109291","308"
"Pittsburgh Sports","TP:29198","307"
"Cleveland Cavaliers","TP:39049","307"
"Las Vegas Raiders","TP:83657","304"
"Dave Koz","TP:109238","304"
"FYIona (AI)","TP:137655","303"
"Oklahoma City Thunder","TP:83599","303"
"Chris Doering","TP:70576","302"
"Tommy Dreamer","TP:34869","300"
"happiness","TP:29352","300"
"Dwight Yoakam","TP:111801","300"
"Toronto Blue Jays","TP:83307","300"
"Keith Costigan","TP:69038","299"
"Stanley Cup Playoffs","TP:139042","298"
"A Martinez","TP:45885","297"
"entertainment news","TP:30988","295"
"video games","TP:28325","294"
"Nancy Grace","TP:33069","294"
"Too Short","TP:110043","294"
"AEW","TP:136052","290"
"Rich Davis (SiriusXM Host)","TP:103132","289"
"Justin Bell","TP:46448","288"
"Jenna Bush Hager","TP:31233","287"
"WWE","TP:28427","283"
"Sci-Fi & Fantasy Film","TP:28143","282"
"Phoenix Suns","TP:83299","282"
"David Gans","TP:44375","280"
"Tommy James","TP:107491","278"
"Toronto Raptors","TP:39053","278"
"Dave Matthews Band","TP:111805","278"
"Gary Lambert (SiriusXM Host)","TP:117830","277"
"Pittsburgh Pirates","TP:83395","276"
"Shannon Sharpe","TP:33306","276"
"Tom Rennie (broadcaster)","TP:103172","273"
"Billy Joel","TP:109631","273"
"San Diego Padres","TP:83312","271"
"Ben Hartsock","TP:69633","271"
"Bruce Springsteen","TP:106511","270"
"US politics","TP:144054","267"
"Dylan Dreyer","TP:48077","266"
"Musica y Entretenimiento","TP:28060","266"
"Pope Leo XIV","TP:270334","265"
"MarySue Twohy","TP:113032","265"
"Mike Stanton (left-handed pitcher)","TP:48935","264"
"Craig Melvin","TP:43477","263"
"Mark Henry","TP:33109","263"
"MS NOW","TP:219042","263"
"Los Angeles Rams","TP:38958","262"
"Savannah Guthrie","TP:31792","262"
"Jacob Hester","TP:69776","261"
"Paul Finebaum","TP:32048","261"
"US Immigration and Customs Enforcement","TP:157204","260"
"Yellowstone (TV)","TP:38854","260"
"Jose Mangin (SiriusXM Host)","TP:103250","259"
"Steve Covino","TP:105066","258"
"WrestleMania","TP:128281","258"
"fitness","TP:28066","255"
"Peter Noone","TP:66207","254"
"Morning Talk Shows","TP:29156","254"
"Strait of Hormuz","TP:278793","254"
"true crime history","TP:29281","253"
"Philadelphia Eagles","TP:83318","252"
"Brian Dunseth","TP:103173","251"
"Dan Patrick","TP:32460","250"
"Spyder Harrison","TP:103269","249"
"Tom Morello","TP:110428","249"
"Mikey Piff (SiriusXM Host)","TP:103282","248"
"Dave LaGreca","TP:103352","246"
"New Age Spirituality","TP:29084","246"
"Los Angeles Angels","TP:56802","244"
"Fernando Mendoza","TP:218473","244"
"Atlantic Coast Conference","TP:85771","243"
"San Francisco Bay Area Sports","TP:29134","243"
"Victor Wembanyama","TP:123118","242"
"Milwaukee Brewers","TP:83379","241"
"Sam Roberts (SiriusXM Host)","TP:47936","240"
"crimes","TP:139308","240"
"Manchester City F.C.","TP:86642","239"
